year,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
state_prisons_count,85239,91188,101624,108157,107532,117268,124118,125721,125962,126258,129418,129664,137432,143152,160088,154446,146974,133761,121107,114317,115011,122457,134158,139649,146881,149031,148285,150219,154216,162898,165692,169431,174836,184094,185613,189735,196453,194886,194155,192627,189855,180409,175317,167571,177513,176403,177113,174379,181396,196105,216462,235853,247507,268005,278882,295353,331504,371864,393015,415796,447873,485553,521289,560994,633739,689577,732916,780571,857675,936896,1001359,1048907,1099347,1152792,1189806,1209130,1208708,1237476,1256442,1274591,1296693,1331065,1353647,1365409,1365688,1362028,1341797,1315856,1325305,1316407,1298159,1288466,1273674,1249717,1221288,1043705,1021288,1039340
federal prisons_count,6430,6803,7722,8233,12964,12185,12964,12276,10848,12058,14762,15374,15309,17133,19730,19260,18465,16623,16113,18139,18638,17622,17146,16328,16868,17134,17395,18014,19363,20003,20088,20134,20420,21549,22492,23218,23696,23944,23128,21709,21040,19245,19579,19703,19623,20038,20948,21713,22815,22361,24131,26980,28650,26391,22588,20611,22169,23652,26331,27602,32695,36531,39523,42738,47168,50403,56696,65706,74399,79795,83663,88815,94987,103682,114275,125044,136509,143040,151919,159137,166173,173533,179204,182333,187886,190641,197050,196574,195098,191374,178688,171482,166203,163653,158498,142028,144448,146108
local_jails_count,,,,,,,,,,,,,,,,99249,,,,,,,,,,86492,,,,,,,,,,119671,,,,,,,,,,129189,,,,,,,,158394,,163994,,,223551,234500,256615,274444,295873,343569,395553,405320,426479,444584,459804,486474,507044,518492,567079,592462,605943,621149,631240,665475,691301,713990,747529,765819,780174,785533,767434,748728,735601,744524,731208,744592,727400,740700,745200,738400,734500,549100,636300,663100
state_prisons_rates,73.09562399,77.1367666,84.84787763,89.28412224,87.83724601,94.90912359,99.74119267,100.4084215,99.98867406,99.56313047,101.3836823,100.9537562,106.2687982,109.8192883,121.7389223,116.3325847,109.574958,98.498924,88.03405789,82.14626105,81.76619939,85.77984012,92.28175241,94.41502815,97.4465735,97.04140435,94.92347149,94.55558034,95.4277269,99.03906728,98.96956952,99.40591427,100.808948,104.3878543,103.5495638,104.1462429,106.1250655,103.7235833,101.8837139,99.75717918,97.14649548,91.28337963,87.78620523,83.0828274,87.07398677,85.4846168,84.83303027,82.68231934,85.20990363,91.24831227,99.75015136,107.6279599,111.7857283,119.08,123.1,129.29,143.73,159.73,167.33,175.49,187.31,201.25,214.12,228.32,255.39,275.04,288.98,304.3,330.98,358.12,379.22,393.48,408.5,424,434.2,426.18,421.9,427.89,430.6,432.84,436.28,443.43,446.62,446.51,442.83,438.61,428.9401426,417.3310646,415.9730078,411.0059092,403.0742953,396.7474866,390,382,371,315,307,311
federal_prisons_rates,5.513964995,5.754720173,6.447249775,6.796380987,10.58961107,9.861749761,10.41786704,9.804358718,8.611145712,9.508563633,11.56427945,11.96988407,11.83762902,13.14360866,15.00367883,14.50711304,13.76639132,12.24084459,11.71272325,13.03437834,13.25054494,12.3440256,11.7940259,11.03916662,11.19088787,11.156789,11.13527185,11.33893998,11.98168203,12.16146584,11.9987731,11.81270652,11.77399803,12.21905044,12.5478107,12.74444603,12.8007185,12.74364233,12.13652255,11.24260152,10.76591222,9.737588707,9.803761826,9.768879748,9.62550823,9.710383335,10.03360746,10.29528326,10.71723716,10.40464808,11.12006219,12.31191614,12.93967894,11.73,9.97,9.02,9.61,10.16,11.21,11.65,13.67,15.14,16.23,17.39,19.01,20.1,22.35,25.61,28.71,30.5,31.68,33.32,35.3,38.18,41.7,44.07,47.65,49.46,52.07,54.04,55.91,57.81,59.13,59.63,60.92,61.39,62.9918044,62.38877615,61.39859921,59.75040004,55.48206319,52.87598381,51,50,48,43,43,44
local_jails_rates,,,,,,,,,,,,,,,,75,,,,,,,,,,57,,,,,,,,,,67,,,,,,,,,,79,,,,,,,,76,,72,,,98,99.43818401,108,114,122,141,160,163,169,174,178,187,193,196,212,219,222,220,222,231,238,243,253,256,259,258,250,242,236,237,231,234,227,229,229,226,224,166,192,199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,